Year,Team_Name,Win_Pct,Pts_For,Pts_Agst
2013,New England Patriots,0.75,444,338
2013,New York Jets,0.5,290,387
2013,Miami Dolphins,0.5,317,335
2013,Buffalo Bills,0.375,339,388
2013,Cincinnati Bengals,0.688,430,305
2013,Pittsburgh Steelers,0.5,379,370
2013,Baltimore Ravens,0.5,320,352
2013,Cleveland Browns,0.25,308,406
2013,Indianapolis Colts,0.688,391,336
2013,Tennessee Titans,0.438,362,381
2013,Jacksonville Jaguars,0.25,247,449
2013,Houston Texans,0.125,276,428
2013,Denver Broncos,0.813,606,399
2013,Kansas City Chiefs,0.688,430,305
2013,San Diego Chargers,0.563,396,348
2013,Oakland Raiders,0.25,322,453
2013,Philadelphia Eagles,0.625,442,382
2013,Dallas Cowboys,0.5,439,432
2013,New York Giants,0.438,294,383
2013,Washington Redskins,0.188,334,478
2013,Green Bay Packers,0.531,417,428
2015,New England Patriots,0.75,465,315
2016,New England Patriots,0.875,441,250
2013,Chicago Bears,0.5,445,478
2013,Detroit Lions,0.438,395,376
2013,Minnesota Vikings,0.344,391,480
2013,Carolina Panthers,0.75,366,241
2013,New Orleans Saints,0.688,414,304
2013,Atlanta Falcons,0.25,353,443
2013,Tampa Bay Buccaneers,0.25,288,389
2013,Seattle Seahawks,0.813,417,231
2013,San Francisco 49ers,0.75,406,272
2013,Arizona Cardinals,0.625,379,324
2013,St. Louis Rams,0.438,348,364
2015,New York Jets,0.625,387,314
2015,Buffalo Bills,0.5,379,359
2015,Miami Dolphins,0.375,310,389
2015,Cincinnati Bengals,0.75,419,279
2015,Pittsburgh Steelers,0.625,423,319
2015,Baltimore Ravens,0.313,328,401
2015,Cleveland Browns,0.188,278,432
2015,Houston Texans,0.563,339,313
2015,Indianapolis Colts,0.5,333,408
2015,Jacksonville Jaguars,0.313,376,448
2015,Tennessee Titans,0.188,299,423
2015,Denver Broncos,0.75,355,296
2016,Miami Dolphins,0.625,363,380
2016,Buffalo Bills,0.438,399,378
2016,New York Jets,0.313,275,409
2016,Pittsburgh Steelers,0.688,399,327
2016,Baltimore Ravens,0.5,343,321
